信号索引,信号时间,信号类型,方向,信号前5周期平均张力,信号前5周期平均加速度,信号前5周期平均量能,信号时刻张力,信号时刻加速度,信号时刻量能,信号时刻价格,黄金开仓等待周期,黄金开仓时间,黄金开仓价格,黄金开仓张力,黄金开仓加速度,黄金开仓量能,价格优势%,黄金平仓持仓周期,黄金平仓时间,黄金平仓价格,黄金平仓张力,黄金平仓加速度,黄金平仓量能,最优盈亏%,DXY燃料_信号时刻,DXY燃料_开仓时刻,DXY燃料_平仓时刻
16,2025-08-15 20:00:00,BULLISH_SINGULARITY,long,-1.0732019868224112,0.0980069451808789,0.6308177069283452,-1.513084872403328,0.1632384064380758,0.3912820298120253,117342.05,0,2025-08-15 20:00:00,117342.05,-1.513084872403328,0.1632384064380758,0.39128202981202537,0.0,9,2025-08-17 08:00:00,118308.01,-1.06495481173857,0.1015919580896871,0.4251420318760478,0.8232002082799745,,,
17,2025-08-16 00:00:00,BULLISH_SINGULARITY,long,-1.2476617288033778,0.1242048954912557,0.6130296608230678,-1.5840387941464724,0.176108911628896,0.4156289299700787,117429.63,2,2025-08-16 08:00:00,117378.52,-1.5325226654603907,0.1755151490771587,0.3654383861176555,0.0435239385494109,6,2025-08-17 08:00:00,118308.01,-1.06495481173857,0.1015919580896871,0.4251420318760478,0.7918740157909561,,,
18,2025-08-16 04:00:00,BULLISH_SINGULARITY,long,-1.379783711710031,0.14459089526275673,0.5781954937177196,-1.597739210402458,0.1789097621829369,0.2755372387399946,117596.07,1,2025-08-16 08:00:00,117378.52,-1.5325226654603907,0.1755151490771587,0.3654383861176555,0.18499767891903438,6,2025-08-17 08:00:00,118308.01,-1.06495481173857,0.1015919580896871,0.4251420318760478,0.7918740157909561,,,
19,2025-08-16 08:00:00,BULLISH_SINGULARITY,long,-1.467010025280682,0.15908446591443942,0.5858805945371764,-1.5325226654603907,0.1755151490771587,0.3654383861176555,117378.52,10,2025-08-18 00:00:00,115319.0,-0.5012141484541116,0.0598423224944217,3.428540731240442,1.7545970080386122,29,2025-08-22 20:00:00,116935.99,0.3346493952672992,-0.0320077621315317,0.7555224549369257,1.4021887113138383,,,
20,2025-08-16 12:00:00,BULLISH_SINGULARITY,long,-1.5069357839639343,0.16678158432798218,0.41212265313426905,-1.4374721010217852,0.1635529931887775,0.3673355808023187,117676.7,10,2025-08-18 04:00:00,115205.98,-0.4272642575885335,0.047051876582328,1.9535558668052926,2.0995830100606163,28,2025-08-22 20:00:00,116935.99,0.3346493952672992,-0.0320077621315317,0.7555224549369257,1.501666840558111,,,
21,2025-08-16 16:00:00,BULLISH_SINGULARITY,long,-1.4985032724510854,0.1671636270043563,0.3461493017714358,-1.326161991272079,0.1456565395102931,0.2616736451865418,117672.12,10,2025-08-18 08:00:00,114947.27,-0.4127946555464085,0.0457824181480648,1.549593269609885,2.315629224662555,27,2025-08-22 20:00:00,116935.99,0.3346493952672992,-0.0320077621315317,0.7555224549369257,1.7301150344849434,,,
22,2025-08-16 20:00:00,BULLISH_SINGULARITY,long,-1.4520704227814925,0.16130268639903572,0.33044319760254476,-1.2344877743857685,0.1280727628061522,0.2970454047986793,117380.66,9,2025-08-18 08:00:00,114947.27,-0.4127946555464085,0.0457824181480648,1.549593269609885,2.0730757520020755,27,2025-08-22 20:00:00,116935.99,0.3346493952672992,-0.0320077621315317,0.7555224549369257,1.7301150344849434,,,
23,2025-08-17 00:00:00,BULLISH_SINGULARITY,long,-1.3820643838794073,0.15100030857329905,0.30992371531589763,-1.1640025607339624,0.1142946446744759,0.2925120362501962,117684.95,8,2025-08-18 08:00:00,114947.27,-0.4127946555464085,0.0457824181480648,1.549593269609885,2.326278763767154,27,2025-08-22 20:00:00,116935.99,0.3346493952672992,-0.0320077621315317,0.7555224549369257,1.7301150344849434,,,
24,2025-08-17 04:00:00,BULLISH_SINGULARITY,long,-1.3035136022024887,0.13872198169425712,0.338160411963872,-1.1264345203409452,0.1052398009086852,0.4449574186278404,118005.98,7,2025-08-18 08:00:00,114947.27,-0.4127946555464085,0.0457824181480648,1.549593269609885,2.5919957615707205,27,2025-08-22 20:00:00,116935.99,0.3346493952672992,-0.0320077621315317,0.7555224549369257,1.7301150344849434,,,
25,2025-08-17 08:00:00,BULLISH_SINGULARITY,long,-1.225585626582185,0.12640144986301186,0.34811101959027074,-1.06495481173857,0.1015919580896871,0.4251420318760478,118308.01,10,2025-08-19 00:00:00,114810.0,-0.4119573940040944,0.02185522762103,1.4154082398493408,2.9566975220020986,23,2025-08-22 20:00:00,116935.99,0.3346493952672992,-0.0320077621315317,0.7555224549369257,1.851746363557186,,,
26,2025-08-17 12:00:00,BULLISH_SINGULARITY,long,-1.1447059273061153,0.11532201611519495,0.3596668225442233,-0.952193905365367,0.0970763907018761,0.4366703985260341,118246.16,9,2025-08-19 00:00:00,114810.0,-0.4119573940040944,0.02185522762103,1.4154082398493408,2.905937917983978,23,2025-08-22 20:00:00,116935.99,0.3346493952672992,-0.0320077621315317,0.7555224549369257,1.851746363557186,,,
27,2025-08-17 16:00:00,BULLISH_SINGULARITY,long,-1.0626473164455355,0.10615958541917814,0.42008622981278837,-0.8338103261085992,0.0906819553341922,0.6241900887979325,117570.07,8,2025-08-19 00:00:00,114810.0,-0.4119573940040944,0.02185522762103,1.4154082398493408,2.34759577841538,23,2025-08-22 20:00:00,116935.99,0.3346493952672992,-0.0320077621315317,0.7555224549369257,1.851746363557186,,,
28,2025-08-17 20:00:00,BULLISH_SINGULARITY,long,-0.9631340384002084,0.09728786288176085,0.4455386334892555,-0.6374081061138063,0.0748424275816486,0.4497598268574821,117405.01,10,2025-08-19 12:00:00,113786.38,-0.3937749810925627,0.022320521448056,2.6910959193952118,3.0821768168155605,20,2025-08-22 20:00:00,116935.99,0.3346493952672992,-0.0320077621315317,0.7555224549369257,2.7680026379255587,,,
29,2025-08-18 16:00:00,BULLISH_SINGULARITY,long,-0.4664237111125536,0.05125496901262613,1.6323890785458024,-0.4129123865390643,0.037024528488003,0.9184571557618518,116313.99,7,2025-08-19 20:00:00,112872.94,-0.4127695384609168,0.0307026936589847,1.211057214393044,2.9584145466938265,18,2025-08-22 20:00:00,116935.99,0.3346493952672992,-0.0320077621315317,0.7555224549369257,3.5996670238234274,,,
30,2025-08-18 20:00:00,BULLISH_SINGULARITY,long,-0.4255278723006111,0.043253051135042186,1.6771567351060837,-0.3920330732421517,0.0268309203161449,0.7183657662191708,116227.05,6,2025-08-19 20:00:00,112872.94,-0.4127695384609168,0.0307026936589847,1.211057214393044,2.8858256318129047,18,2025-08-22 20:00:00,116935.99,0.3346493952672992,-0.0320077621315317,0.7555224549369257,3.5996670238234274,,,
31,2025-08-19 08:00:00,BULLISH_SINGULARITY,long,-0.4173239484283909,0.02918436285136827,1.1364611175767834,-0.4267629475559527,0.022693250114354,0.8411053239032745,115508.71,3,2025-08-19 20:00:00,112872.94,-0.4127695384609168,0.0307026936589847,1.211057214393044,2.2818798686263606,18,2025-08-22 20:00:00,116935.99,0.3346493952672992,-0.0320077621315317,0.7555224549369257,3.5996670238234274,,,
32,2025-08-20 04:00:00,BULLISH_SINGULARITY,long,-0.41642781208493673,0.030784619852019347,1.4176192282330848,-0.4450787884818425,0.0466125865894631,0.5920290954909955,113490.13,9,2025-08-21 16:00:00,112193.71,0.2928707501785482,-0.0320436239539169,1.0044450548822919,1.142319600832247,7,2025-08-22 20:00:00,116935.99,0.3346493952672992,-0.0320077621315317,0.7555224549369257,4.226867976823298,,,
33,2025-08-23 00:00:00,BEARISH_SINGULARITY,short,0.28977867779030236,-0.02983669402105538,1.4613696202310267,0.482901870937082,-0.0492397506583675,0.9649104102932008,115568.77,1,2025-08-23 04:00:00,115799.47,0.6333806707152054,-0.0712640491633229,0.8285408455879127,0.19962140291014352,20,2025-08-26 12:00:00,109666.33,0.0455814335441688,-0.0383676019431393,1.3973989574204544,5.296345484137363,,,
34,2025-08-23 04:00:00,BEARISH_SINGULARITY,short,0.3450986789349701,-0.03581907072144553,1.4839798866777814,0.6333806707152054,-0.0712640491633229,0.8285408455879127,115799.47,0,2025-08-23 04:00:00,115799.47,0.6333806707152054,-0.0712640491633229,0.8285408455879127,0.0,20,2025-08-26 12:00:00,109666.33,0.0455814335441688,-0.0383676019431393,1.3973989574204544,5.296345484137363,,,
35,2025-08-23 08:00:00,BEARISH_SINGULARITY,short,0.43766614596073117,-0.046957592129184954,1.4310334049761728,0.7778002315429431,-0.0914094309137822,0.4985644792101938,115310.13,3,2025-08-23 20:00:00,115438.05,1.0531858941557062,-0.1085940280251415,0.3946493228285967,0.11093561337585714,16,2025-08-26 12:00:00,109666.33,0.0455814335441688,-0.0383676019431393,1.3973989574204544,4.999841906546412,,,
36,2025-08-23 12:00:00,BEARISH_SINGULARITY,short,0.5548627944769087,-0.061185013543684545,0.9361423331433026,0.8863440247877669,-0.1042426033983412,1.1137451002913437,114812.87,2,2025-08-23 20:00:00,115438.05,1.0531858941557062,-0.1085940280251415,0.3946493228285967,0.5445208363835932,16,2025-08-26 12:00:00,109666.33,0.0455814335441688,-0.0383676019431393,1.3973989574204544,4.999841906546412,,,
37,2025-08-23 16:00:00,BEARISH_SINGULARITY,short,0.6813609574942604,-0.0761795202515582,0.7629212747626325,0.9730895517152656,-0.1089135252440037,0.4162443582562181,115133.91,1,2025-08-23 20:00:00,115438.05,1.0531858941557062,-0.1085940280251415,0.3946493228285967,0.2641619658361289,16,2025-08-26 12:00:00,109666.33,0.0455814335441688,-0.0383676019431393,1.3973989574204544,4.999841906546412,,,
38,2025-08-23 20:00:00,BEARISH_SINGULARITY,short,0.8011170406423281,-0.08894389790049317,0.7027757527445777,1.0531858941557062,-0.1085940280251415,0.3946493228285967,115438.05,0,2025-08-23 20:00:00,115438.05,1.0531858941557062,-0.1085940280251415,0.3946493228285967,0.0,16,2025-08-26 12:00:00,109666.33,0.0455814335441688,-0.0383676019431393,1.3973989574204544,4.999841906546412,,,
39,2025-08-24 00:00:00,BEARISH_SINGULARITY,short,0.9001304149650432,-0.09803817219586723,0.6781142389447478,1.0769821168733722,-0.1038053964306118,0.8169413274942211,115036.0,0,2025-08-24 00:00:00,115036.0,1.0769821168733722,-0.1038053964306118,0.8169413274942211,0.0,15,2025-08-26 12:00:00,109666.33,0.0455814335441688,-0.0383676019431393,1.3973989574204544,4.667817031190235,,,
40,2025-08-24 04:00:00,BEARISH_SINGULARITY,short,0.9730423850320037,-0.1015857155019374,0.6567166667724695,1.0708524911169692,-0.092549308999744,0.7001554125542437,114888.19,0,2025-08-24 04:00:00,114888.19,1.0708524911169692,-0.092549308999744,0.7001554125542437,0.0,14,2025-08-26 12:00:00,109666.33,0.0455814335441688,-0.0383676019431393,1.3973989574204544,4.545166914023104,,,
41,2025-08-24 08:00:00,BEARISH_SINGULARITY,short,1.0153970795056981,-0.09938895218501766,0.7230333647527772,1.0319283983851089,-0.0782288510122637,0.8964646670920398,114730.22,0,2025-08-24 08:00:00,114730.22,1.0319283983851089,-0.0782288510122637,0.8964646670920398,0.0,13,2025-08-26 12:00:00,109666.33,0.0455814335441688,-0.0383676019431393,1.3973989574204544,4.413736851546175,,,
42,2025-08-24 12:00:00,BEARISH_SINGULARITY,short,1.036861057384203,-0.09304517985933956,0.7125817837812227,1.0151278920587972,-0.0661799694442726,1.051035614462017,114400.0,0,2025-08-24 12:00:00,114400.0,1.0151278920587972,-0.0661799694442726,1.051035614462017,0.0,30,2025-08-29 12:00:00,108386.23,-0.4424988090314671,0.0098880858903904,2.870913144066673,5.256791958041961,,,
43,2025-08-24 16:00:00,BEARISH_SINGULARITY,short,1.0361301434637638,-0.08308027354130565,1.1259162222187562,0.9687040681926288,-0.0491240873358002,2.8962509888814183,112600.0,1,2025-08-24 20:00:00,113493.59,0.9451727344888068,-0.0382081877909753,1.4380470235102416,0.7935968028419152,29,2025-08-29 16:00:00,108212.01,-0.642657453137198,0.0615080212056534,0.9544664611055005,4.653637267091473,,,
44,2025-08-24 20:00:00,BEARISH_SINGULARITY,short,1.0181279501859473,-0.07134930016894461,1.2998158389990302,0.9451727344888068,-0.0382081877909753,1.4380470235102416,113493.59,0,2025-08-24 20:00:00,113493.59,0.9451727344888068,-0.0382081877909753,1.4380470235102416,0.0,29,2025-08-29 16:00:00,108212.01,-0.642657453137198,0.0615080212056534,0.9544664611055005,4.653637267091473,,,
45,2025-08-25 00:00:00,BEARISH_SINGULARITY,short,0.9987191652707194,-0.06033003975016115,1.2981309437623128,0.9605294073820044,-0.0376898339179111,0.8068319560739156,112916.84,0,2025-08-25 00:00:00,112916.84,0.9605294073820044,-0.0376898339179111,0.8068319560739156,0.0,28,2025-08-29 16:00:00,108212.01,-0.642657453137198,0.0615080212056534,0.9544664611055005,4.166632718379297,,,
46,2025-08-25 04:00:00,BEARISH_SINGULARITY,short,0.9852728321940946,-0.051942727915523464,1.399142374394103,0.9901744926572216,-0.0422254379919179,1.3062239963449849,111511.55,2,2025-08-25 12:00:00,112200.64,0.9899554608979894,-0.0661054025473951,1.3624460161588137,0.6179539249521655,25,2025-08-29 16:00:00,108212.01,-0.642657453137198,0.0615080212056534,0.9544664611055005,3.5549084211997406,,,
47,2025-08-25 08:00:00,BEARISH_SINGULARITY,short,0.9765378739388869,-0.04713315337103275,1.4579409722759362,0.9795186488538624,-0.0493714037453194,1.2492562543830392,111214.97,1,2025-08-25 12:00:00,112200.64,0.9899554608979894,-0.0661054025473951,1.3624460161588137,0.8862745725687812,25,2025-08-29 16:00:00,108212.01,-0.642657453137198,0.0615080212056534,0.9544664611055005,3.5549084211997406,,,
48,2025-08-25 12:00:00,BEARISH_SINGULARITY,short,0.9723424687454189,-0.0471207255548865,1.509842705892069,0.9899554608979894,-0.0661054025473951,1.3624460161588137,112200.64,0,2025-08-25 12:00:00,112200.64,0.9899554608979894,-0.0661054025473951,1.3624460161588137,0.0,25,2025-08-29 16:00:00,108212.01,-0.642657453137198,0.0615080212056534,0.9544664611055005,3.5549084211997406,,,
49,2025-08-25 16:00:00,BEARISH_SINGULARITY,short,0.9741326217157478,-0.05281630423613643,1.1782128675179004,0.9794449860146016,-0.0832975594232998,0.906471958636407,110716.13,7,2025-08-26 20:00:00,111763.22,-0.4196000498763127,0.0347914175798994,0.7255420339035564,0.9457429554302489,17,2025-08-29 16:00:00,108212.01,-0.642657453137198,0.0615080212056534,0.9544664611055005,3.1774406642901,,,
50,2025-08-25 20:00:00,BEARISH_SINGULARITY,short,0.9671098528786012,-0.06246058531884227,1.303150510998015,0.9030361214659274,-0.0960738742872103,2.187672884390929,110111.98,10,2025-08-27 12:00:00,112000.0,0.0707199602719173,0.0395597665903104,0.9459315425928867,1.714636318409681,27,2025-09-01 00:00:00,107660.01,-0.1867942733495749,-0.0357613003464148,1.3620279883672548,3.874991071428576,,,
51,2025-08-26 00:00:00,BEARISH_SINGULARITY,short,0.9298488553543804,-0.0726043539468019,1.385242141220077,0.7369634222366804,-0.0985524456856689,1.2993817374062877,109879.56,10,2025-08-27 16:00:00,112080.69,0.345547603691981,-0.0063508715866801,0.546163964311097,2.003220617192137,26,2025-09-01 00:00:00,107660.01,-0.1867942733495749,-0.0357613003464148,1.3620279883672548,3.9441941337084985,,,
52,2025-08-26 04:00:00,BEARISH_SINGULARITY,short,0.8539077003290997,-0.08072274372541517,1.267404542920802,0.5345275625055369,-0.0909357766635975,0.5991984065493355,110303.2,9,2025-08-27 16:00:00,112080.69,0.345547603691981,-0.0063508715866801,0.546163964311097,1.6114582351192035,26,2025-09-01 00:00:00,107660.01,-0.1867942733495749,-0.0357613003464148,1.3620279883672548,3.9441941337084985,,,
53,2025-08-26 20:00:00,BULLISH_SINGULARITY,long,0.16048681414799257,-0.044362967262377144,0.9435636281457853,-0.4196000498763127,0.0347914175798994,0.7255420339035564,111763.22,2,2025-08-27 04:00:00,110725.18,-0.3744866570999202,0.0677060100386067,0.5261567965420816,0.9287849795308403,6,2025-08-28 04:00:00,113114.11,0.6656782316141232,-0.1159608534360241,0.817583264615477,2.1575309247634618,,,
54,2025-08-27 00:00:00,BULLISH_SINGULARITY,long,-0.03584299518290713,-0.018434503722695034,0.8335465340587218,-0.4410154337487175,0.0570183355524237,0.6392791728839068,111418.15,1,2025-08-27 04:00:00,110725.18,-0.3744866570999202,0.0677060100386067,0.5261567965420816,0.6219543225228575,6,2025-08-28 04:00:00,113114.11,0.6656782316141232,-0.1159608534360241,0.817583264615477,2.1575309247634618,,,
55,2025-08-27 04:00:00,BULLISH_SINGULARITY,long,-0.18734536511714997,0.008005794061005668,0.8213729323908462,-0.3744866570999202,0.0677060100386067,0.5261567965420816,110725.18,0,2025-08-27 04:00:00,110725.18,-0.3744866570999202,0.0677060100386067,0.5261567965420816,0.0,6,2025-08-28 04:00:00,113114.11,0.6656782316141232,-0.1159608534360241,0.817583264615477,2.1575309247634618,,,
56,2025-08-27 20:00:00,BEARISH_SINGULARITY,short,-0.011146048891276331,0.02857164296627227,0.6453128766133417,0.5315121968672527,-0.050391659494089,0.7481286805715702,111262.01,2,2025-08-28 04:00:00,113114.11,0.6656782316141232,-0.1159608534360241,0.817583264615477,1.6646292836162189,23,2025-09-01 00:00:00,107660.01,-0.1867942733495749,-0.0357613003464148,1.3620279883672548,4.821768035835676,,,
57,2025-08-28 00:00:00,BEARISH_SINGULARITY,short,0.16616788379547762,0.004905711324726715,0.6029796735590186,0.6228681623718062,-0.0849772542968496,0.3852799545579685,112000.01,1,2025-08-28 04:00:00,113114.11,0.6656782316141232,-0.1159608534360241,0.817583264615477,0.9947320540417861,23,2025-09-01 00:00:00,107660.01,-0.1867942733495749,-0.0357613003464148,1.3620279883672548,4.821768035835676,,,
58,2025-08-28 04:00:00,BEARISH_SINGULARITY,short,0.3395286985811515,-0.02570543258771175,0.6515507515712512,0.6656782316141232,-0.1159608534360241,0.817583264615477,113114.11,0,2025-08-28 04:00:00,113114.11,0.6656782316141232,-0.1159608534360241,0.817583264615477,0.0,23,2025-09-01 00:00:00,107660.01,-0.1867942733495749,-0.0357613003464148,1.3620279883672548,4.821768035835676,,,
59,2025-08-28 08:00:00,BEARISH_SINGULARITY,short,0.4850139508862206,-0.059156110317194394,0.6530166691148772,0.6737575505002432,-0.136815789679834,0.4750126080402641,112909.18,0,2025-08-28 08:00:00,112909.18,0.6737575505002432,-0.136815789679834,0.47501260804026413,0.0,22,2025-09-01 00:00:00,107660.01,-0.1867942733495749,-0.0357613003464148,1.3620279883672548,4.649019681127787,,,
60,2025-08-28 12:00:00,BEARISH_SINGULARITY,short,0.5819074673947867,-0.09067888221197634,0.6705231031627833,0.652081059323314,-0.1495768647783813,1.0509701468803228,112678.53,0,2025-08-28 12:00:00,112678.53,0.652081059323314,-0.1495768647783813,1.0509701468803228,0.0,21,2025-09-01 00:00:00,107660.01,-0.1867942733495749,-0.0357613003464148,1.3620279883672548,4.453838721538171,,,
61,2025-08-28 16:00:00,BEARISH_SINGULARITY,short,0.6105174929360317,-0.11385795054152115,0.6863471897165737,0.5172077569394516,-0.1454252815639488,0.6411084836338397,111901.36,1,2025-08-28 20:00:00,112566.9,0.3561697536914833,-0.1316469636920373,0.41351997900940585,0.5947559529213886,19,2025-09-01 00:00:00,107660.01,-0.1867942733495749,-0.0357613003464148,1.3620279883672548,4.35908779579077,,,
62,2025-08-28 20:00:00,BEARISH_SINGULARITY,short,0.5812937524067369,-0.12740050124117916,0.6305790727895464,0.3561697536914833,-0.1316469636920373,0.4135199790094058,112566.9,0,2025-08-28 20:00:00,112566.9,0.3561697536914833,-0.1316469636920373,0.41351997900940585,0.0,19,2025-09-01 00:00:00,107660.01,-0.1867942733495749,-0.0357613003464148,1.3620279883672548,4.35908779579077,,,
63,2025-08-30 08:00:00,BULLISH_SINGULARITY,long,-0.7090888787629592,0.10394663982063412,1.312276616188031,-0.7713245495928104,0.1538493748967691,0.5385779558990268,108680.01,10,2025-09-01 00:00:00,107660.01,-0.1867942733495749,-0.0357613003464148,1.3620279883672548,0.9385350627038037,25,2025-09-05 04:00:00,112954.32,0.3538574837787491,-0.0087681397384055,1.461637902800368,4.917619829312678,,,
64,2025-08-30 12:00:00,BULLISH_SINGULARITY,long,-0.7566341339401396,0.125664360406901,0.9318851315728892,-0.7277703400945494,0.1401944094079916,0.5885642363758226,108869.98,9,2025-09-01 00:00:00,107660.01,-0.1867942733495749,-0.0357613003464148,1.3620279883672548,1.111389935039945,25,2025-09-05 04:00:00,112954.32,0.3538574837787491,-0.0087681397384055,1.461637902800368,4.917619829312678,,,
65,2025-08-30 16:00:00,BULLISH_SINGULARITY,long,-0.7650868049649051,0.1349333056275588,0.8167217525905937,-0.6933734792857912,0.1171216925296003,0.2634861872117263,108828.33,8,2025-09-01 00:00:00,107660.01,-0.1867942733495749,-0.0357613003464148,1.3620279883672548,1.0735439935538909,25,2025-09-05 04:00:00,112954.32,0.3538574837787491,-0.0087681397384055,1.461637902800368,4.917619829312678,,,
66,2025-08-30 20:00:00,BULLISH_SINGULARITY,long,-0.7453242985144053,0.13277631998932626,0.680361897261493,-0.6499194763126628,0.0935760121256518,0.3177352509579297,108816.33,7,2025-09-01 00:00:00,107660.01,-0.1867942733495749,-0.0357613003464148,1.3620279883672548,1.062634624784724,25,2025-09-05 04:00:00,112954.32,0.3538574837787491,-0.0087681397384055,1.461637902800368,4.917619829312678,,,
