信号类型,方向,最优平仓盈亏%,信号前张力,信号前加速度,信号前量能比率,信号前DXY燃料,信号时张力,信号时加速度,信号时量能比率,信号时DXY燃料,最优开仓周期,开仓时张力,开仓时加速度,开仓时量能比率,开仓时DXY燃料,价格优势%,最优平仓周期,平仓时张力,平仓时加速度,平仓时量能比率,平仓时DXY燃料,方向改变
HIGH_OSCILLATION,short,1.2232886649828096,0.9841282142275158,-0.0007209834196998834,,0.0,0.9944138998441778,-0.0010876151942043,,0.0,6,0.9875641672184002,-0.0010796006192517,,0.0,1.322759892568764,30,0.4438526260555777,-0.0004012923928162,1.6378010813631323,0.0955034364495672,False
HIGH_OSCILLATION,short,0.7296725965902632,0.9884207196682296,-0.0009025758935856334,,0.0,0.9959922167088174,-0.0010895548433145,,0.0,3,0.9941900404373624,-0.0010875263601867,,0.0,0.13756829419821695,26,0.6054837457320356,-0.000605141419588,2.289428097153722,-0.0707214880617256,True
HIGH_OSCILLATION,short,4.73379287155347,0.991628950873282,-0.0010842742356614,,0.0,0.9964803435210025,-0.0010901900524546,,0.0,10,0.9421999482629873,-0.0010244550978499,,0.0,1.251497791890045,30,0.2691140750133109,-0.0001801666106439,1.3309832411918798,0.6626971946283834,False
HIGH_OSCILLATION,short,5.1229676537100985,0.9937503307672603,-0.0010868513110738,,0.0,0.9958789551592756,-0.0010895151739115,,0.0,10,0.9310291472727764,-0.0010107695198541,,0.0,1.799658614884839,30,0.2392734668435961,-0.0001423721344584,1.0754797324944787,0.6626971946283834,False
HIGH_OSCILLATION,short,5.1229676537100985,0.9947835806344766,-0.0010881300267622,,0.0,0.9941900404373624,-0.0010875263601867,,0.0,9,0.9310291472727764,-0.0010107695198541,,0.0,1.3919970696943567,30,0.2392734668435961,-0.0001423721344584,1.0754797324944787,0.6626971946283834,False
HIGH_OSCILLATION,short,2.9547987810338756,0.9947287266346905,-0.0010881038670022332,,0.0,0.9914169041375072,-0.0010842215779418,,0.0,6,0.9523599797333436,-0.001036874527265,,0.0,0.3857103312364921,28,0.3576306732630595,-0.0002922397929971,1.0520713573825171,0.6626971946283834,True
HIGH_OSCILLATION,short,1.2232886649828096,0.9935871045303942,-0.0010867681045101335,,0.0,0.9875641672184002,-0.0010796006192517,,0.0,0,0.9875641672184002,-0.0010796006192517,,0.0,0.0,30,0.4438526260555777,-0.0004012923928162,1.6378010813631323,0.0955034364495672,True
HIGH_OSCILLATION,short,5.1229676537100985,0.9913613626104496,-0.0010841198156482667,,0.0,0.98263776518915,-0.0010736651101433,,0.0,6,0.9310291472727764,-0.0010107695198541,,0.0,1.2682836896441372,30,0.2392734668435961,-0.0001423721344584,1.0754797324944787,0.6626971946283834,False
HIGH_OSCILLATION,short,2.9547987810338756,0.9880554627975298,-0.0010801578929753167,,0.0,0.9766449446434826,-0.0010664185164169,,0.0,3,0.9523599797333436,-0.001036874527265,,0.0,0.34092092734621726,28,0.3576306732630595,-0.0002922397929971,1.0520713573825171,0.6626971946283834,True
HIGH_OSCILLATION,short,5.1229676537100985,0.9836746799294991,-0.0010748830551106836,,0.0,0.9695942579510916,-0.0010578661467237,,0.0,4,0.9310291472727764,-0.0010107695198541,,0.0,1.1173964898881001,30,0.2392734668435961,-0.0001423721344584,1.0754797324944787,0.6626971946283834,False
HIGH_OSCILLATION,short,5.1229676537100985,0.9782255992075802,-0.00106829785388795,,0.0,0.96149555610585,-0.0010480151528503,,0.0,3,0.9310291472727764,-0.0010107695198541,,0.0,1.1372992116467866,30,0.2392734668435961,-0.0001423721344584,1.0754797324944787,0.6626971946283834,True
HIGH_OSCILLATION,short,5.1229676537100985,0.9717161118068863,-0.00106040667877515,,0.0,0.9523599797333436,-0.001036874527265,,0.0,2,0.9310291472727764,-0.0010107695198541,,0.0,0.6997552994145819,30,0.2392734668435961,-0.0001423721344584,1.0754797324944787,0.6626971946283834,True
HIGH_OSCILLATION,short,5.1229676537100985,0.9641554086476507,-0.0010512157585415166,,0.0,0.9421999482629873,-0.0010244550978499,,0.0,1,0.9310291472727764,-0.0010107695198541,,0.0,0.3829438466711524,30,0.2392734668435961,-0.0001423721344584,1.0754797324944787,0.6626971946283834,True
HIGH_OSCILLATION,short,5.1229676537100985,0.9555539723282553,-0.0010407331601599834,,0.0,0.9310291472727764,-0.0010107695198541,,0.0,0,0.9310291472727764,-0.0010107695198541,,0.0,0.0,30,0.2392734668435961,-0.0001423721344584,1.0754797324944787,0.6626971946283834,True
HIGH_OSCILLATION,short,5.021511386016322,0.9459235672239243,-0.0010289687849354332,0.6293413530056361,0.0,0.9188625140174964,-0.0009958322650696,0.6293413530056361,0.0,0,0.9188625140174964,-0.0009958322650696,0.6293413530056361,0.0,0.0,29,0.2392734668435961,-0.0001423721344584,1.0754797324944787,0.6626971946283834,True
HIGH_OSCILLATION,short,4.711581160639199,0.9352772277577412,-0.0010159343618518335,0.7152860539850343,0.0,0.905716221153994,-0.0009796596082221,0.8012307549644325,0.0,0,0.905716221153994,-0.0009796596082221,0.8012307549644325,0.0,0.0,28,0.2392734668435961,-0.0001423721344584,1.0754797324944787,0.6626971946283834,True
HIGH_OSCILLATION,short,4.653434992189108,0.9236292448534166,-0.0010016434381418166,0.7524085940193995,0.0,0.8916076586799014,-0.0009622696105902,0.8266536740881302,0.0,0,0.8916076586799014,-0.0009622696105902,0.8266536740881302,0.0,0.0,27,0.2392734668435961,-0.0001423721344584,1.0754797324944787,0.6626971946283834,True
