参数,ACTION均值,HOLD均值,差异,ACTION标准差,HOLD标准差
量能比率,1.0296960328669653,0.9846646098708433,0.04503142299612206,0.6504949775337245,0.7037947680253929
价格vsEMA%,-0.39854424783935455,-0.17083682066440353,-0.22770742717495102,1.8353198639692154,1.786748014972649
张力,-0.07548146847033192,0.07350962760141709,-0.148991096071749,0.736404768245631,0.6887169438784398
加速度,0.0027265996228539625,-0.013983627265089846,0.01671022688794381,0.08779355878695004,0.08472635336200826
DXY燃料,0.006126076386841856,0.048695896773342906,-0.04256982038650105,0.3269741816146315,0.3189567331304089
