信号时间,信号类型,方向,开仓价,张力,DXY燃料,首次开仓盈亏%,最优开仓盈亏%,最优开仓周期,价格优势%,最优平仓盈亏%,最优平仓周期,是好机会,好机会类型,好机会盈亏%,好机会平仓周期,张力变化%
2025-12-21 08:00:00,LOW_OSCILLATION,long,88601.57,-0.3754407043583799,-0.1829195305042029,-0.602269237441289,1.5167451321686354,6,1.5167451321686354,1.5167451321686354,6,True,2,1.5167451321686354,6,0.0
2025-12-21 12:00:00,LOW_OSCILLATION,long,88067.95,-0.3833077807265257,-0.1829195305042029,0.47243066291425845,2.1318538696540523,5,2.1318538696540523,2.1318538696540523,5,True,1,2.1318538696540523,1,0.0
2025-12-21 16:00:00,LOW_OSCILLATION,long,88484.01,-0.3913673667698703,-0.1829195305042029,0.19760632457774666,1.6516204453211356,4,1.6516204453211356,1.6516204453211356,4,True,1,1.6516204453211356,1,0.0
2025-12-21 20:00:00,LOW_OSCILLATION,long,88658.86,-0.3996213485119597,-0.1829195305042029,0.13000392741345282,1.4511465633553065,3,1.4511465633553065,1.4511465633553065,3,True,1,1.4511465633553065,1,0.0
2025-12-22 00:00:00,LOW_OSCILLATION,long,88774.12,-0.4080714036641182,0.2420530258510605,0.4460534218756666,1.3194273285953133,2,1.3194273285953133,1.3194273285953133,2,True,1,1.3194273285953133,1,0.0
2025-12-22 04:00:00,LOW_OSCILLATION,long,89170.1,-0.4167189880227837,0.2420530258510605,0.8694954923230849,0.8694954923230849,1,0.8694954923230849,0.8694954923230849,1,True,1,0.8694954923230849,1,0.0
2025-12-22 08:00:00,LOW_OSCILLATION,long,89945.43,-0.4255653219471516,0.2420530258510605,-0.24293618919826698,-0.24293618919826698,1,-0.24293618919826698,-0.24293618919826698,1,False,0,-0.24293618919826698,1,0.0
2025-12-22 12:00:00,LOW_OSCILLATION,long,89726.92,-0.4346113769513513,0.2420530258510605,-1.8662069309857123,-0.9830383122478772,21,-0.9830383122478772,-0.9830383122478772,21,False,0,-1.8662069309857123,1,0.0
2025-12-22 16:00:00,LOW_OSCILLATION,long,88052.43,-0.4438578624455035,0.2420530258510605,0.6454790628719737,0.899963805655338,20,0.899963805655338,0.899963805655338,20,True,1,0.899963805655338,1,0.0
2025-12-22 20:00:00,LOW_OSCILLATION,long,88620.79,-0.4533052126600421,0.2420530258510605,-0.508672964887803,0.2528526319839868,19,0.2528526319839868,0.2528526319839868,19,True,2,0.2528526319839868,19,0.0
2025-12-23 00:00:00,LOW_OSCILLATION,long,88170.0,-0.4629535737877019,0.0900100037478352,-0.6750708857888243,0.7654190767834811,18,0.7654190767834811,0.7654190767834811,18,True,2,0.7654190767834811,18,0.0
2025-12-23 04:00:00,LOW_OSCILLATION,long,87574.79,-0.472802791377461,0.0900100037478352,0.3218506147716719,1.4502803832016062,17,1.4502803832016062,1.4502803832016062,17,True,1,1.4502803832016062,1,0.0
2025-12-23 08:00:00,LOW_OSCILLATION,long,87856.65,-0.4828523980145885,0.0900100037478352,-0.47031158142268925,1.1248095619398204,16,1.1248095619398204,1.1248095619398204,16,True,2,1.1248095619398204,16,0.0
2025-12-23 12:00:00,LOW_OSCILLATION,long,87443.45,-0.4931016013207021,0.0900100037478352,0.3538515463422341,1.602658632521931,15,1.602658632521931,1.602658632521931,15,True,1,1.602658632521931,1,0.0
2025-12-23 16:00:00,LOW_OSCILLATION,long,87752.87,-0.5035492723074733,0.0900100037478352,-0.3041154095586792,1.2444037442877938,14,1.2444037442877938,1.2444037442877938,14,True,2,1.2444037442877938,14,0.0
2025-12-23 20:00:00,LOW_OSCILLATION,long,87486.0,-0.5141939341172068,0.0900100037478352,-0.17119310518254816,1.5532428045630104,13,1.5532428045630104,1.5532428045630104,13,True,2,1.5532428045630104,13,0.0
2025-12-24 00:00:00,LOW_OSCILLATION,long,87336.23,-0.5250337511831271,-0.0092689997151086,-0.48628158096588,3.1914819313817495,30,3.1914819313817495,3.1914819313817495,30,True,2,3.1914819313817495,30,0.0
2025-12-24 04:00:00,LOW_OSCILLATION,long,86911.53,-0.536066518841657,-0.0092689997151086,0.33644557862461233,3.695735191866953,29,3.695735191866953,3.695735191866953,29,True,1,3.695735191866953,1,0.0
2025-12-24 08:00:00,LOW_OSCILLATION,long,87203.94,-0.5472896534284222,-0.0092689997151086,-0.17654018843643657,3.3480253300481615,28,3.3480253300481615,3.3480253300481615,28,True,2,3.3480253300481615,28,0.0
2025-12-24 12:00:00,LOW_OSCILLATION,long,87049.99,-0.5587001828890676,-0.0092689997151086,0.5928432616706704,3.5307987973347243,27,3.5307987973347243,3.5307987973347243,27,True,1,3.5307987973347243,1,0.0
2025-12-24 16:00:00,LOW_OSCILLATION,long,87566.06,-0.5702947379352319,-0.0092689997151086,0.11807085987424741,2.920640713993533,26,2.920640713993533,2.920640713993533,26,True,1,2.920640713993533,1,0.0
