时间,收盘价,信号类型,方向,置信度,张力,加速度,量能比率,EMA偏离%,DXY燃料,V705通过,过滤原因
2025-08-15 00:00:00,118968.91,LOW_OSCILLATION,做多,0.6,-0.3323434962014297,0.0002483400302784,0.522357206601743,-0.7169992009409277,0.6540682150561441,True,
2025-08-15 04:00:00,118956.45,LOW_OSCILLATION,做多,0.6,-0.3119251087646791,0.0002121882930729,0.48454224137208357,-0.6585777218507898,0.6540682150561441,False,量能过低
2025-08-28 16:00:00,111901.36,LOW_OSCILLATION,做多,0.6,-0.4011633632706086,-0.0002702995085037,0.6411084836338397,-0.11922189987831511,0.5477121377377486,True,
2025-08-28 20:00:00,112566.9,LOW_OSCILLATION,做多,0.6,-0.4305093958168529,-0.0002358137074794,0.41351997900940596,0.429409362592612,0.5477121377377486,False,量能过低
2025-08-29 00:00:00,111704.23,LOW_OSCILLATION,做多,0.6,-0.4600564973735714,-0.0002010690104742,0.8152060400955488,-0.30793915631071966,-0.3457639667035008,True,
2025-08-29 04:00:00,110019.38,LOW_OSCILLATION,做多,0.6,-0.4897697168924487,-0.0001661179621587,1.7274220631815929,-1.6419067403393957,-0.3457639667035008,True,
2025-08-29 08:00:00,110098.81,LOW_OSCILLATION,做多,0.6,-0.5196139497490952,-0.0001310133377692,1.1861479794205512,-1.4234162060810625,-0.3457639667035008,True,
2025-08-29 12:00:00,108386.23,LOW_OSCILLATION,做多,0.6,-0.5495539906670406,-9.58080612988299e-05,2.870913144066673,-2.6827261659639987,-0.3457639667035008,True,
2025-08-29 16:00:00,108212.01,LOW_OSCILLATION,做多,0.6,-0.5795545867084313,-6.055512344538272e-05,0.9544664611055005,-2.57572295811363,-0.3457639667035008,True,
2025-08-29 20:00:00,108377.4,LOW_OSCILLATION,做多,0.6,-0.6095804902493528,-2.530749953078004e-05,1.1358943829325332,-2.200781588754858,-0.3457639667035008,True,
2025-08-30 00:00:00,108436.2,LOW_OSCILLATION,做多,0.6,-0.6395965118577424,9.881932531929928e-06,1.2300505987398176,-1.9471587435236515,-0.3457639667035008,True,
2025-08-30 04:00:00,108524.26,LOW_OSCILLATION,做多,0.6,-0.6695675729920506,4.496047408131254e-05,1.143757154384635,-1.6926814822524572,-0.3457639667035008,True,
2025-08-30 08:00:00,108680.01,LOW_OSCILLATION,做多,0.6,-0.6994587584391522,7.987568720668747e-05,0.5385779558990268,-1.405901070276325,-0.3457639667035008,True,
2025-08-30 12:00:00,108869.98,LOW_OSCILLATION,做多,0.6,-0.7292353684104087,0.000114575475845,0.5885642363758226,-1.11739173071374,-0.3457639667035008,True,
