时间,收盘价,信号类型,方向,置信度,张力,加速度,DXY燃料,量能比率,EMA偏离%,V705通过,过滤原因
2025-08-31 04:00:00,108708.26,LOW_OSCILLATION,做多,0.6,-1.0121845401278373,-0.008465332276834516,-0.3457639667035008,0.49749933147298475,-0.906157127252597,False,量能过低
2025-08-31 08:00:00,108389.76,LOW_OSCILLATION,做多,0.6,-1.0451074366908206,0.0017905378779841845,-0.3457639667035008,0.6668434354753796,-1.0837719413779308,True,
2025-08-31 12:00:00,108818.69,LOW_OSCILLATION,做多,0.6,-1.0776432162455603,0.006887152804279258,-0.3457639667035008,1.0244078469761382,-0.6268084427450663,True,
2025-08-31 16:00:00,108930.0,LOW_OSCILLATION,做多,0.6,-1.1097511893407568,-0.0029343985075915386,-0.3457639667035008,0.5190840144753737,-0.47538269562185803,True,
2025-08-31 20:00:00,108246.35,LOW_OSCILLATION,做多,0.6,-1.1413914526044577,-0.00729894297573106,-0.3457639667035008,0.5647501203015256,-0.9962854950834056,True,
2025-09-01 00:00:00,107660.01,LOW_OSCILLATION,做多,0.6,-1.1725249527516302,0.0008593303996984967,-0.3457639667035008,1.3620279883672546,-1.3886293931574307,True,
2025-09-01 04:00:00,109432.99,BULLISH_SINGULARITY,做多,0.6,-1.2031135490645104,0.021885043121494186,-0.3457639667035008,1.188074509137548,0.21287413804387972,True,
2025-09-01 12:00:00,108784.33,LOW_OSCILLATION,做多,0.6,-1.2625083935014043,0.0059540424282783265,-0.3457639667035008,0.9466299085628727,-0.3120957412614957,True,
2025-09-01 16:00:00,109217.64,LOW_OSCILLATION,做多,0.6,-1.2912434618741193,0.003969873056831906,-0.3457639667035008,0.6667709059605984,0.07688166955810564,True,
2025-09-01 20:00:00,109237.42,LOW_OSCILLATION,做多,0.6,-1.3192913795296786,-0.0038020960846129083,-0.3457639667035008,1.4388743514287827,0.08595023239212597,True,
2025-09-02 00:00:00,110322.18,LOW_OSCILLATION,做多,0.6,-1.346619445103979,0.009749190503747401,-0.43090088032071056,1.4923277651309668,0.9759884244113677,True,
2025-09-02 08:00:00,109733.34,LOW_OSCILLATION,做多,0.6,-1.3989915118935732,-0.00374105003074238,-0.43090088032071056,1.2131705730985065,0.31789567929154633,True,
2025-09-02 20:00:00,111240.01,LOW_OSCILLATION,做多,0.6,-1.4714076003484988,0.004125906142885424,-0.43090088032071056,0.692369452061827,1.3141126759353021,True,
2025-09-03 00:00:00,111054.01,LOW_OSCILLATION,做多,0.6,-1.4938031063554187,-0.005588905917790732,0.5278052750243878,0.9613212279414344,1.0345615555821104,True,
2025-09-03 04:00:00,111099.88,LOW_OSCILLATION,做多,0.6,-1.5152874215046737,0.0020851025261647174,0.5278052750243878,0.64346225723356,0.9727918435655472,True,
2025-09-03 08:00:00,111437.77,LOW_OSCILLATION,做多,0.6,-1.5358390807687163,0.0026282751498131482,0.5278052750243878,0.63628929280795,1.1565788206544665,True,
2025-09-03 12:00:00,112222.74,LOW_OSCILLATION,做多,0.6,-1.5554381928106054,0.004002703654767915,0.5278052750243878,1.420357788248189,1.688110670421076,True,
