信号时间,信号类型,交易方向,开仓价,开仓张力,首次开仓盈亏,最优平仓盈亏,最优平仓周期,最差平仓盈亏,盈亏波动,是好机会,好机会数,好机会平均盈亏,最优平仓张力,张力变化%,价格优势
2025-09-23 20:00:00,LOW_OSCILLATION,long,111998.8,-1.1066904440464878,-0.28188694878874276,1.2689510959045918,5,-2.682448383375534,3.9513994792801257,False,0,0.0,-1.1605233302797604,-4.8643129181127485,1.2689510959045918
2025-09-24 00:00:00,LOW_OSCILLATION,long,111683.09,-1.11764014790713,0.8062545547405584,1.555222012571463,4,-2.4073474328118887,3.9625694453833518,False,0,0.0,-1.1605233302797604,-3.8369400430838585,1.555222012571463
2025-09-24 04:00:00,LOW_OSCILLATION,long,112583.54,-1.1285279615372938,0.3960792137110033,0.7429771705526413,3,-3.1878994034118917,3.9308765739645333,False,0,0.0,-1.1605233302797604,-2.8351418691373933,0.7429771705526413
2025-09-24 08:00:00,LOW_OSCILLATION,long,113029.46,-1.139324250956352,0.2804136195997018,0.34552938676340517,2,-3.569839225985863,3.915368612749268,False,0,0.0,-1.1605233302797604,-1.8606712975357025,0.34552938676340517
2025-09-24 12:00:00,LOW_OSCILLATION,long,113346.41,-1.1499992940657406,0.06493368426930439,0.4139169471710692,30,-3.8394864027894644,4.253403349960534,False,0,0.0,-1.2763762309740077,-10.989305607438276,0.4139169471710692
2025-09-24 16:00:00,LOW_OSCILLATION,long,113420.01,-1.1605233302797604,-0.09963850294140758,0.7454945560311697,30,-3.9018864484317977,4.647381004462967,False,0,0.0,-1.2702962882061246,-9.458918667313815,0.7454945560311697
2025-09-24 20:00:00,LOW_OSCILLATION,long,113307.0,-1.170866610265246,-0.671441305479797,0.8869354938353381,30,-3.8060402269939146,4.692975720829253,False,0,0.0,-1.2633778905184,-7.901094748290472,0.8869354938353381
2025-09-25 00:00:00,LOW_OSCILLATION,long,112546.21,-1.18099944571022,-0.6925955125454737,1.6261587129411048,30,-3.1557881869145135,4.781946899855618,False,0,0.0,-1.2556133521552677,-6.317861258620407,1.6261587129411048
2025-09-25 04:00:00,LOW_OSCILLATION,long,111766.72,-1.1908922590416215,-0.37463745916494745,2.3349258169158027,29,-2.4803716168820165,4.815297433797819,False,0,0.0,-1.2556133521552677,-5.434672416607266,2.3349258169158027
2025-09-25 08:00:00,LOW_OSCILLATION,long,111348.0,-1.2005156330122615,0.2090473111326688,2.719752487696231,28,-2.1136526924596715,4.833405180155903,False,0,0.0,-1.2556133521552677,-4.589504511886974,2.719752487696231
2025-09-25 12:00:00,LOW_OSCILLATION,long,111580.77,-1.2098403600773908,-1.99028022480935,2.5054675639897406,27,-2.3178545908941106,4.823322154883851,False,0,0.0,-1.2556133521552677,-3.783391064499525,2.5054675639897406
2025-09-25 16:00:00,LOW_OSCILLATION,long,109360.0,-1.2188374914815925,-0.3342264081931189,4.5870427944403795,26,-0.3342264081931189,4.921269202633498,True,8,4.127407187271399,-1.2556133521552677,-3.0172899119612144,4.5870427944403795
2025-09-25 20:00:00,LOW_OSCILLATION,long,108994.49,-1.227478385977158,0.5372014677072111,4.937772542446865,25,0.0305428283576478,4.907229714089217,True,9,4.494455535219151,-1.2556133521552677,-2.2920946307101153,4.937772542446865
2025-09-26 00:00:00,LOW_OSCILLATION,long,109580.01,-1.2357347580957267,-0.23726042733523267,4.377057457833783,24,-0.5039514050053435,4.881008862839127,True,10,3.962000916042996,-1.2556133521552677,-1.6086457008115531,4.377057457833783
2025-09-26 04:00:00,LOW_OSCILLATION,long,109320.02,-1.243578725895652,-0.17061833687919567,4.7740569385186715,30,-0.2673252346642502,5.041382173182922,True,11,4.260594470502954,-1.1771821605316213,5.339152558774322,4.7740569385186715
2025-09-26 08:00:00,LOW_OSCILLATION,long,109133.5,-1.2509828581083993,-0.09687217948659317,7.015334429849681,30,-0.09687217948659317,7.112206609336274,True,12,4.653498543832402,-1.1625199623925595,7.071471454821034,7.015334429849681
2025-09-26 12:00:00,LOW_OSCILLATION,long,109027.78,-1.257920220608252,0.13246165335109847,7.700743792086747,30,0.13246165335109847,7.568282138735649,True,13,4.98157442075772,-1.1469983540149158,8.817877698134252,7.700743792086747
