entry_idx,exit_idx,type,entry_price,exit_price,pnl_pct,hold_bars,entry_signal,exit_signal,entry_action,exit_action
418,421,LONG,94020.0,95653.77,1.7376834716017913,3,LOW_OSCILLATION,BULLISH_SINGULARITY,开多,平多
422,427,SHORT,95565.38,90512.1,5.287772622261324,5,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
428,438,SHORT,91517.82,86921.28,5.0225628189133085,10,BULLISH_SINGULARITY,BEARISH_SINGULARITY,开空,平空
442,451,LONG,82309.66,87460.02,6.257297138634761,9,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
453,455,LONG,86264.72,88327.29,2.390977447095397,2,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
461,468,LONG,86882.85,91408.34,5.20872646327784,7,BEARISH_SINGULARITY,OSCILLATION,开多,平多
488,498,SHORT,86286.01,92373.3,-7.0547821135778666,10,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
504,509,SHORT,92142.75,89330.04,3.052557037857028,5,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
510,515,SHORT,89688.35,89236.79,0.5034767614746086,5,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
519,520,LONG,90634.34,93800.83,3.493697863304356,1,BEARISH_SINGULARITY,OSCILLATION,开多,平多
527,532,LONG,89880.01,92513.38,2.9298728382429085,5,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
538,544,SHORT,90240.01,88172.17,2.2914891077693773,6,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
550,557,SHORT,85875.92,87233.44,-1.580792380448447,7,BULLISH_SINGULARITY,BEARISH_SINGULARITY,开空,平空
558,563,LONG,86018.53,87953.4,2.249364177695196,5,BEARISH_SINGULARITY,BULLISH_SINGULARITY,开多,平多
564,566,SHORT,88198.7,87845.92,0.3999832197073187,2,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
567,571,SHORT,88136.94,88070.64,0.07522385052170283,4,BULLISH_SINGULARITY,OSCILLATION,开空,平空
573,574,SHORT,88658.86,88774.12,-0.13000392741345282,1,HIGH_OSCILLATION,BEARISH_SINGULARITY,开空,平空
578,586,LONG,88052.43,86911.53,-1.2957052974006444,8,BEARISH_SINGULARITY,HIGH_OSCILLATION,开多,平多
592,596,SHORT,87225.27,87369.56,-0.16542224518192214,4,BULLISH_SINGULARITY,OSCILLATION,开空,平空
600,602,SHORT,87877.01,87730.85,0.16632336489371788,2,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
603,605,SHORT,87883.25,87520.75,0.4124790560203452,2,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
606,611,SHORT,87952.71,87502.85,0.5114794075134246,5,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
612,619,SHORT,87903.89,87648.22,0.2908517472889974,7,BULLISH_SINGULARITY,BEARISH_SINGULARITY,开空,平空
621,624,LONG,87631.88,89995.13,2.6967925371451575,3,BEARISH_SINGULARITY,HIGH_OSCILLATION,开多,平多
626,632,LONG,89577.13,91532.0,2.182331583965679,6,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
643,644,LONG,93255.08,93840.0,0.6272258841019687,1,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
648,656,SHORT,90226.77,90332.15,-0.11679460541476781,8,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
657,663,SHORT,90641.28,90504.7,0.15068189681346264,6,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
664,668,SHORT,90733.5,90690.8,0.04706089812472471,4,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
669,672,SHORT,91013.65,90620.96,0.43146275311449195,3,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
679,683,SHORT,93449.99,96764.57,-3.5469024662281945,4,BULLISH_SINGULARITY,BEARISH_SINGULARITY,开空,平空
686,689,LONG,95985.1,96737.04,0.7833924223655417,3,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
692,693,LONG,95354.69,95653.16,0.3130102987068608,1,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
695,697,LONG,95101.67,95573.64,0.49627940287484035,2,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
