时间,收盘价,信号类型,方向,置信度,张力,加速度,量能比率,EMA偏离%,DXY燃料,开盘价,最高价,最低价,成交量,价格vsEMA%,V7.0.5通过,过滤原因
2025-10-03 00:00:00,120225.89,BEARISH_SINGULARITY,short,0.7,0.7854121384093111,-0.0860687116237975,0.7752788697193159,2.6289196226364537,0.4916139186254188,120529.35,120550.9,119820.0,2268.65523,2.6289196226364537,True,
2025-10-03 04:00:00,119640.21,BEARISH_SINGULARITY,short,0.7,0.7233403263556512,-0.0792823028435962,0.773482447233619,1.922307162467383,0.4916139186254188,120225.88,120324.53,119610.59,2293.91523,1.922307162467383,True,
2025-10-03 08:00:00,120334.5,BEARISH_SINGULARITY,short,0.7,0.5989826190717772,-0.0661096742425397,1.1502998488343945,2.2689381381843785,0.4916139186254188,119640.22,120515.89,119248.3,3467.40526,2.2689381381843785,True,
2025-10-03 12:00:00,122258.05,BEARISH_SINGULARITY,short,0.7,0.4727867217797255,-0.0513254156654321,1.5676431566364253,3.5188453753540814,0.4916139186254188,120334.51,122366.0,119881.24,4929.42106,3.5188453753540814,True,
2025-10-03 16:00:00,122660.99,BEARISH_SINGULARITY,short,0.7,0.3746813651402899,-0.0379070403604678,2.7200078107952175,3.479611243593237,0.4916139186254188,122258.04,123894.99,121466.25,9447.66952,3.479611243593237,True,
2025-10-06 08:00:00,124215.0,BULLISH_SINGULARITY,long,0.6,-0.358772814620885,0.0317321601380146,0.9239220199335617,1.5902444387512076,-0.4259269128290524,123390.47,124531.66,123390.46,2768.21181,1.5902444387512076,True,
2025-10-06 20:00:00,124658.54,BULLISH_SINGULARITY,long,0.6,-0.4498326766750868,0.0375610650813551,0.7248137989961472,1.363739209093396,-0.4259269128290524,125410.8,125534.0,124511.15,2200.63705,1.363739209093396,True,
2025-10-07 00:00:00,124329.74,BULLISH_SINGULARITY,long,0.6,-0.4585713910852601,0.036352081152581,0.6686714772110123,0.9909296880156406,-0.0166619081435165,124658.54,125082.27,124101.26,1773.60979,0.9909296880156406,True,
2025-10-07 04:00:00,123667.99,BULLISH_SINGULARITY,long,0.6,-0.49311589958738,0.0384144740916478,0.9097686839223857,0.410043286389077,-0.0166619081435165,124329.74,124654.47,123567.6,2455.2259,0.410043286389077,True,
2025-10-07 08:00:00,124453.38,BULLISH_SINGULARITY,long,0.6,-0.4971863007577235,0.0387465995614905,0.8940515484116474,0.9469983873452312,-0.0166619081435165,123668.0,124509.6,123322.9,2444.73415,0.9469983873452313,True,
2025-10-07 20:00:00,121332.95,BULLISH_SINGULARITY,long,0.6,-0.6859973595598463,0.0669887729653505,0.5729369045228989,-1.2313066797506675,-0.0166619081435165,121637.18,122292.62,121258.08,1873.51346,-1.2313066797506675,True,
2025-10-08 00:00:00,121374.75,BULLISH_SINGULARITY,long,0.6,-0.7998449514421886,0.0839733532231595,0.725324811584146,-1.0844901357736785,-0.0590898389468006,121332.96,122229.66,121200.0,2406.76826,-1.0844901357736783,True,
2025-10-08 04:00:00,121597.06,BULLISH_SINGULARITY,long,0.6,-0.9385280171126962,0.1031085048867523,0.7826769111610912,-0.8179900583773193,-0.0590898389468006,121374.76,121910.24,121066.14,2670.85944,-0.8179900583773193,True,
2025-10-08 20:00:00,123306.0,BULLISH_SINGULARITY,long,0.6,-1.1820305516245275,0.122373571983172,0.43826977021093355,0.4705671459445507,-0.0590898389468006,123450.01,123737.0,122794.4,1357.35135,0.4705671459445507,True,
2025-10-09 00:00:00,122038.01,BULLISH_SINGULARITY,long,0.6,-1.1283233185051662,0.1070751565641385,0.7496409177858124,-0.5092916838218468,-0.0237296550319637,123306.01,123348.32,121475.98,2319.17839,-0.5092916838218468,True,
2025-10-09 04:00:00,121906.1,BULLISH_SINGULARITY,long,0.6,-1.0889938294787709,0.0898054496225981,0.4687808666094385,-0.5584127538062013,-0.0237296550319637,122038.01,122264.0,121724.71,1451.1479,-0.5584127538062013,True,
2025-10-09 08:00:00,122737.57,BULLISH_SINGULARITY,long,0.6,-1.0120484837776624,0.0687430316171926,0.8735394094876858,0.1084109429318103,-0.0237296550319637,121906.09,122833.02,121145.49,2689.44106,0.10841094293181032,True,
2025-10-09 20:00:00,121662.4,BULLISH_SINGULARITY,long,0.6,-1.0727866329312752,0.047349262206055,0.7029685281033357,-0.4878627792796837,-0.0237296550319637,120951.72,121900.0,120838.0,2359.47103,-0.4878627792796837,True,
2025-10-10 00:00:00,121026.01,BULLISH_SINGULARITY,long,0.6,-1.176065891299746,0.0601372673616499,0.649500633664997,-0.9132294355885552,0.2334909150241095,121662.41,121874.13,120900.0,2094.68145,-0.9132294355885553,True,
2025-10-10 04:00:00,120932.05,BULLISH_SINGULARITY,long,0.6,-1.3107464307688876,0.0830153299448867,0.7913243256902585,-0.8967016055365403,0.2334909150241095,121026.0,121754.34,120855.41,2566.54979,-0.8967016055365403,True,
2025-10-10 08:00:00,121554.55,BULLISH_SINGULARITY,long,0.6,-1.3488160110950247,0.1041364462369272,0.4807111226382789,-0.3498785618082296,0.2334909150241095,120932.05,121777.07,120916.44,1553.83694,-0.3498785618082296,True,
2025-10-11 08:00:00,112280.0,BULLISH_SINGULARITY,long,0.6,-0.8758325997322012,0.1150317123623627,0.9490983771030373,-4.962947658420422,0.2334909150241095,110384.6,112359.67,110162.23,5929.13992,-4.962947658420422,True,
