信号索引,信号类型,方向,普通信号时间,普通信号价格,普通信号张力,普通信号加速度,普通信号量能比率,信号前5周期平均张力,信号前5周期平均加速度,信号前5周期平均量能比率,开仓等待周期,开仓时间,开仓价格,开仓张力,开仓加速度,开仓量能比率,价格优势%,方向是否改变,持仓周期,平仓时间,平仓价格,平仓张力,平仓加速度,平仓量能比率,最优盈亏%
20,BULLISH_SINGULARITY,long,2025-08-16 00:00:00,117429.63,-1.5840387941464724,0.176108911628896,0.4156289299700787,-1.2476617288033778,0.1242048954912557,0.6130296608230678,2,2025-08-16 08:00:00,117378.52,-1.5325226654603907,0.1755151490771587,0.3654383861176555,0.0435239385494109,True,6,2025-08-17 08:00:00,118308.01,-1.06495481173857,0.1015919580896871,0.4251420318760478,0.7918740157909561
21,BULLISH_SINGULARITY,long,2025-08-16 04:00:00,117596.07,-1.597739210402458,0.1789097621829369,0.2755372387399946,-1.379783711710031,0.14459089526275673,0.5781954937177196,1,2025-08-16 08:00:00,117378.52,-1.5325226654603907,0.1755151490771587,0.3654383861176555,0.18499767891903438,True,6,2025-08-17 08:00:00,118308.01,-1.06495481173857,0.1015919580896871,0.4251420318760478,0.7918740157909561
22,BULLISH_SINGULARITY,long,2025-08-16 08:00:00,117378.52,-1.5325226654603907,0.1755151490771587,0.3654383861176555,-1.467010025280682,0.15908446591443942,0.5858805945371764,0,2025-08-16 08:00:00,117378.52,-1.5325226654603907,0.1755151490771587,0.3654383861176555,0.0,True,6,2025-08-17 08:00:00,118308.01,-1.06495481173857,0.1015919580896871,0.4251420318760478,0.7918740157909561
23,BULLISH_SINGULARITY,long,2025-08-16 12:00:00,117676.7,-1.4374721010217852,0.1635529931887775,0.3673355808023187,-1.5069357839639343,0.16678158432798218,0.41212265313426905,2,2025-08-16 20:00:00,117380.66,-1.2344877743857685,0.1280727628061522,0.29704540479867936,0.25157061678309606,True,3,2025-08-17 08:00:00,118308.01,-1.06495481173857,0.1015919580896871,0.4251420318760478,0.7900364506384538
24,BULLISH_SINGULARITY,long,2025-08-16 16:00:00,117672.12,-1.326161991272079,0.1456565395102931,0.2616736451865418,-1.4985032724510854,0.1671636270043563,0.3461493017714358,1,2025-08-16 20:00:00,117380.66,-1.2344877743857685,0.1280727628061522,0.29704540479867936,0.24768823745165114,True,3,2025-08-17 08:00:00,118308.01,-1.06495481173857,0.1015919580896871,0.4251420318760478,0.7900364506384538
25,BULLISH_SINGULARITY,long,2025-08-16 20:00:00,117380.66,-1.2344877743857685,0.1280727628061522,0.2970454047986793,-1.4520704227814925,0.16130268639903572,0.33044319760254476,0,2025-08-16 20:00:00,117380.66,-1.2344877743857685,0.1280727628061522,0.29704540479867936,0.0,True,3,2025-08-17 08:00:00,118308.01,-1.06495481173857,0.1015919580896871,0.4251420318760478,0.7900364506384538
26,BULLISH_SINGULARITY,long,2025-08-17 00:00:00,117684.95,-1.1640025607339624,0.1142946446744759,0.2925120362501962,-1.3820643838794073,0.15100030857329905,0.30992371531589763,0,2025-08-17 00:00:00,117684.95,-1.1640025607339624,0.1142946446744759,0.2925120362501962,0.0,True,2,2025-08-17 08:00:00,118308.01,-1.06495481173857,0.1015919580896871,0.4251420318760478,0.5294304836769678
27,BULLISH_SINGULARITY,long,2025-08-17 04:00:00,118005.98,-1.1264345203409452,0.1052398009086852,0.4449574186278404,-1.3035136022024887,0.13872198169425712,0.338160411963872,3,2025-08-17 16:00:00,117570.07,-0.8338103261085992,0.0906819553341922,0.6241900887979325,0.36939653397225203,True,1,2025-08-17 20:00:00,117405.01,-0.6374081061138063,0.0748424275816486,0.4497598268574821,-0.14039287379858856
28,BULLISH_SINGULARITY,long,2025-08-17 08:00:00,118308.01,-1.06495481173857,0.1015919580896871,0.4251420318760478,-1.225585626582185,0.12640144986301186,0.34811101959027074,10,2025-08-19 00:00:00,114810.0,-0.4119573940040944,0.02185522762103,1.4154082398493408,2.9566975220020986,False,23,2025-08-22 20:00:00,116935.99,0.3346493952672992,-0.0320077621315317,0.7555224549369257,1.851746363557186
29,BULLISH_SINGULARITY,long,2025-08-17 12:00:00,118246.16,-0.952193905365367,0.0970763907018761,0.4366703985260341,-1.1447059273061153,0.11532201611519495,0.3596668225442233,9,2025-08-19 00:00:00,114810.0,-0.4119573940040944,0.02185522762103,1.4154082398493408,2.905937917983978,False,23,2025-08-22 20:00:00,116935.99,0.3346493952672992,-0.0320077621315317,0.7555224549369257,1.851746363557186
