信号类型,方向,最优平仓盈亏%,信号前张力,信号前加速度,信号前量能比率,信号时张力,信号时加速度,信号时量能比率,最优开仓周期,开仓时张力,开仓时加速度,开仓时量能比率,价格优势%,最优平仓周期,平仓时张力,平仓时加速度,平仓时量能比率
BEARISH_SINGULARITY,short,3.006987137025613,0.6235357376184334,-0.0712198986502858,,0.5851209594393163,-0.0679277223215729,,0,0.5851209594393163,-0.0679277223215729,,0.0,26,-1.376757060349172,0.1433642834520483,0.6575137533635413
BEARISH_SINGULARITY,short,2.807752023032979,0.5992740216637523,-0.06982990146432684,,0.627769121624933,-0.0761791748621619,,0,0.627769121624933,-0.0761791748621619,,0.0,25,-1.376757060349172,0.1433642834520483,0.6575137533635413
BEARISH_SINGULARITY,short,1.8079122137757118,0.5873005162611705,-0.06970673714094056,,0.6365680809336108,-0.0797075149129932,,0,0.6365680809336108,-0.0797075149129932,,0.0,24,-1.376757060349172,0.1433642834520483,0.6575137533635413
BEARISH_SINGULARITY,short,4.939893626082956,0.5874070753736191,-0.07104219090433993,,0.5934326901820595,-0.0757075655210445,,10,-0.4004817356474436,0.0453089827335421,,1.8827999932595212,29,-0.4127946555464085,0.0457824181480648,1.549593269609885
BEARISH_SINGULARITY,short,6.352185573559846,0.5824592749935379,-0.07154043947444463,,0.4994074192284805,-0.0661137783207126,,10,-0.4025865627958822,0.0400863613434891,1.2082802981338485,3.2698849127990948,28,-0.4127946555464085,0.0457824181480648,1.549593269609885
BEARISH_SINGULARITY,short,6.779176073786249,0.553275913269929,-0.0697604059188859,,0.3773572082111734,-0.0529266795748302,,10,-0.3603211985640602,0.0300952590901555,1.1171152887352953,3.6304135453099233,27,-0.4127946555464085,0.0457824181480648,1.549593269609885
BULLISH_SINGULARITY,long,2.2947006649475568,-0.22192474252409647,0.026547224040298568,,-0.3632686299070283,0.0457893006284492,,0,-0.3632686299070283,0.0457893006284492,,0.0,4,-0.2638301405235951,0.0131417846239835,0.959393422969009
BULLISH_SINGULARITY,long,1.9984350063702983,-0.2924018504708694,0.03556095239368152,,-0.4004817356474436,0.0453089827335421,,0,-0.4004817356474436,0.0453089827335421,,0.0,3,-0.2638301405235951,0.0131417846239835,0.959393422969009
BULLISH_SINGULARITY,long,-0.637205195862717,-0.3373614844085821,0.040193124658797486,1.2082802981338485,-0.4025865627958822,0.0400863613434891,1.2082802981338483,3,-0.1572583641187062,-0.0037598809527907,1.0197022046484472,0.8301002548307644,1,-0.0273161674317486,-0.0235659301108697,0.9947307652650311
BULLISH_SINGULARITY,long,0.8806549243736176,-0.3592049213164896,0.04064485438051745,1.162697793434572,-0.3603211985640602,0.0300952590901555,1.1171152887352953,10,-1.1979175489222706,0.1173702827075209,1.4098832292197638,4.891237220962437,11,-1.06495481173857,0.1015919580896871,0.4251420318760478
BULLISH_SINGULARITY,long,1.173066320654824,-0.280860808556519,-0.003917973820911666,1.0897669810565394,-0.8050073129625414,0.0565937635539306,0.4845422413720835,3,-1.376757060349172,0.1433642834520483,0.6575137533635413,1.6982517551591303,10,-1.06495481173857,0.1015919580896871,0.4251420318760478
BULLISH_SINGULARITY,long,1.173066320654824,-0.4445022446573083,0.014768635392077048,0.9771998170458533,-1.0091647840364837,0.0885537251670626,0.3193277812009141,2,-1.376757060349172,0.1433642834520483,0.6575137533635413,1.7391894745483785,10,-1.06495481173857,0.1015919580896871,0.4251420318760478
BULLISH_SINGULARITY,long,1.173066320654824,-0.6472980623736188,0.03995092097853648,0.7081584850726929,-1.1979175489222706,0.1173702827075209,1.4098832292197638,1,-1.376757060349172,0.1433642834520483,0.6575137533635413,0.289020988406585,10,-1.06495481173857,0.1015919580896871,0.4251420318760478
BULLISH_SINGULARITY,long,1.173066320654824,-0.866030955717104,0.06891739760999295,0.6625670203482817,-1.376757060349172,0.1433642834520483,0.6575137533635413,0,-1.376757060349172,0.1433642834520483,0.6575137533635413,0.0,10,-1.06495481173857,0.1015919580896871,0.4251420318760478
BULLISH_SINGULARITY,long,0.8232002082799745,-1.0732019868224112,0.0980069451808789,0.6308177069283452,-1.513084872403328,0.1632384064380758,0.3912820298120253,0,-1.513084872403328,0.1632384064380758,0.39128202981202537,0.0,9,-1.06495481173857,0.1015919580896871,0.4251420318760478
