entry_time,exit_time,type,entry_price,exit_price,pnl_pct,pnl_usd,exit_reason,hold_bars,hold_hours,signal_type
2025-08-22 00:00:00,2025-08-22 20:00:00,LONG,112929.24,116935.99,3.5480182103412723,174.9009105170636,高点,4,16,GOLDEN_LONG
2025-08-25 00:00:00,2025-08-25 12:00:00,LONG,112916.84,112200.64,-0.6342720890878607,-34.812003511507434,高点,3,12,GOLDEN_LONG
2025-09-13 16:00:00,2025-09-13 12:00:00,SHORT,115797.12,115768.68,0.024560196315765306,-1.289809355674537,低点,-1,0,GOLDEN_SHORT
2025-09-20 20:00:00,2025-09-22 16:00:00,SHORT,115685.63,112122.9,3.079665123490282,153.58583010112292,低点,9,36,GOLDEN_SHORT
2025-10-10 16:00:00,2025-10-10 08:00:00,SHORT,116661.5,121554.55,-4.194228601552357,-218.416172442736,止损,-2,0,GOLDEN_SHORT
2025-10-21 12:00:00,2025-10-21 04:00:00,LONG,113422.61,108086.37,-4.7047409683131125,-239.4955597718524,止损,-2,0,GOLDEN_LONG
2025-11-01 20:00:00,2025-11-01 20:00:00,SHORT,110098.1,110098.1,0.0,-2.458618298884104,低点,0,0,GOLDEN_SHORT
2025-11-12 04:00:00,2025-11-12 08:00:00,LONG,103112.66,105020.83,1.8505681067678772,88.51605936525377,高点,1,4,GOLDEN_LONG
2025-12-06 08:00:00,2025-12-06 20:00:00,SHORT,89631.28,89236.79,0.4401253669477946,19.351253274607505,低点,3,12,GOLDEN_SHORT
2025-12-14 08:00:00,2025-12-14 20:00:00,SHORT,89360.0,88172.17,1.3292636526410047,63.578648066323645,低点,3,12,GOLDEN_SHORT
2025-12-18 00:00:00,2025-12-19 08:00:00,LONG,86618.34,88198.7,1.8245096823605724,88.75618790846514,高点,4,16,GOLDEN_LONG
2025-12-23 20:00:00,2025-12-26 00:00:00,LONG,87486.0,88844.87,1.5532428045630104,75.8552608761388,高点,8,32,GOLDEN_LONG
2025-12-28 16:00:00,2025-12-28 16:00:00,SHORT,87520.75,87520.75,0.0,-2.542017996682081,低点,0,0,GOLDEN_SHORT
2026-01-09 08:00:00,2026-01-09 16:00:00,SHORT,90463.11,90332.15,0.1447661925397064,4.816742851424892,低点,2,8,GOLDEN_SHORT
