时间,收盘价,信号类型,方向,置信度,张力,加速度,量能比率,EMA偏离%
2025-11-20 20:00:00,86637.23,BEARISH_SINGULARITY,short,0.7,0.5841323982072092,-0.0697715400393566,0.7678667812023796,-5.019395042185704
2025-11-21 00:00:00,85821.34,BEARISH_SINGULARITY,short,0.7,0.4826570272047686,-0.0622603148352319,1.0176873403599653,-5.380939495986811
2025-11-21 04:00:00,84049.39,BEARISH_SINGULARITY,short,0.7,0.3500202232337868,-0.0443776715428578,2.1444033134280263,-6.6826888929802655
2025-11-22 16:00:00,84609.76,BEARISH_SINGULARITY,short,0.7,0.3924795902945873,-0.0223453170419141,0.1856669033538673,-2.2734327767285176
2025-11-22 20:00:00,84739.74,BEARISH_SINGULARITY,short,0.7,0.4923652234492678,-0.0472118030129103,0.23941081119313076,-1.9249757522971196
2025-11-23 00:00:00,86308.54,BEARISH_SINGULARITY,short,0.7,0.5872380089443301,-0.0709110455975043,0.586983418150157,-0.09889856213391773
2025-11-23 04:00:00,85782.19,BEARISH_SINGULARITY,short,0.7,0.666297148792744,-0.0870655883478409,0.43771667719344454,-0.641132645426209
2025-11-23 08:00:00,86331.28,BEARISH_SINGULARITY,short,0.7,0.7316734543485985,-0.0958800507862898,0.31805931857490977,-0.004649248813802839
2025-11-23 12:00:00,87087.44,BEARISH_SINGULARITY,short,0.7,0.7977883974887496,-0.0997999745690892,0.5302296527157068,0.787567760984613
2025-11-23 16:00:00,87325.01,BEARISH_SINGULARITY,short,0.7,0.8714400369390081,-0.1019729180295198,0.5647737687815152,0.9603476820197401
2025-11-23 20:00:00,86830.0,BEARISH_SINGULARITY,short,0.7,0.9307595892562373,-0.1000961878654718,0.5505684973105135,0.35095817232700965
2025-11-24 00:00:00,87460.02,BEARISH_SINGULARITY,short,0.7,1.0508786200617692,-0.0985259083545385,0.7473740379865549,0.9753111968722035
2025-11-24 04:00:00,87050.39,BEARISH_SINGULARITY,short,0.7,1.2099104244009793,-0.1037206840728109,0.5759127615593909,0.454317485150547
2025-11-24 08:00:00,86264.72,BEARISH_SINGULARITY,short,0.7,1.3057234295153826,-0.1146701564898851,0.6287741123801397,-0.4094265646055206
2025-11-24 12:00:00,86616.44,BEARISH_SINGULARITY,short,0.7,1.3270642121269562,-0.1224219721976412,0.9155202904784084,-0.0030528264821203057
2025-11-24 16:00:00,88327.29,BEARISH_SINGULARITY,short,0.7,1.3455782342183469,-0.1323192885196782,1.3183240146413457,1.7809263454650357
2025-11-24 20:00:00,88300.01,BEARISH_SINGULARITY,short,0.7,1.3588586849588469,-0.145171348604755,0.8296394971472524,1.580239997718784
2025-11-25 00:00:00,87822.12,BEARISH_SINGULARITY,short,0.7,1.357736547719111,-0.1576755442408006,0.7666442905798085,0.9314211791374195
2025-11-25 04:00:00,87384.81,BEARISH_SINGULARITY,short,0.7,1.3153668557616438,-0.1659237427980161,0.9457601363491657,0.38783377341520825
2025-11-25 08:00:00,87361.71,BEARISH_SINGULARITY,short,0.7,1.2303411764272942,-0.168740638025162,1.053131692561778,0.3267748237750891
2025-11-25 12:00:00,86988.94,BEARISH_SINGULARITY,short,0.7,1.0907935181131974,-0.1626283607718157,1.4557053445062424,-0.09167638103429043
2025-11-25 16:00:00,86882.85,BEARISH_SINGULARITY,short,0.7,0.9116375042592056,-0.1436790695269989,0.9611819749803725,-0.19322641428521217
2025-11-25 20:00:00,87369.96,BEARISH_SINGULARITY,short,0.7,0.7327565450572121,-0.1183566480196823,0.7461841484748045,0.33133646349251694
2025-11-26 00:00:00,87119.92,BEARISH_SINGULARITY,short,0.7,0.5488938880377114,-0.0865393581924731,0.6584954006199814,0.03999142252643399
2025-11-26 04:00:00,87935.05,BEARISH_SINGULARITY,short,0.7,0.4136970307788524,-0.0599978684004199,0.5376129497774514,0.8822338474226581
2025-11-27 12:00:00,90958.3,BEARISH_SINGULARITY,short,0.7,0.4132114086226846,-0.0381134065340951,0.8140791561480606,2.364775720011847
2025-11-27 16:00:00,91528.21,BEARISH_SINGULARITY,short,0.7,0.4654249377900183,-0.0551910819789484,0.6460606991854743,2.712089208022792
