信号类型,方向,最优平仓盈亏%,信号前张力,信号前加速度,信号前量能比率,信号前DXY燃料,信号时张力,信号时加速度,信号时量能比率,信号时DXY燃料,最优开仓周期,开仓时张力,开仓时加速度,开仓时量能比率,开仓时DXY燃料,价格优势%,最优平仓周期,平仓时张力,平仓时加速度,平仓时量能比率,平仓时DXY燃料,方向改变
HIGH_OSCILLATION,做空,1.799658614884839,0.5179235025789182,0.001466089469660633,,0.0,0.5447031610303944,-0.0003753477361675,,0.0,2,0.5613625791384524,-0.0005157237836354,,0.0,0.26343733173284484,10,0.589143897786524,0.0006734097570201,,0.0,True
HIGH_OSCILLATION,做空,1.799658614884839,0.5287567076612982,-3.279816686826686e-05,,0.0,0.5534693181527549,-0.0089933258191734,,0.0,1,0.5613625791384524,-0.0005157237836354,,0.0,0.15758838951048967,10,0.589143897786524,0.0006734097570201,,0.0,True
HIGH_OSCILLATION,做空,1.799658614884839,0.5387673625523045,-0.0001187521308075002,,0.0,0.5613625791384524,-0.0005157237836354,,0.0,0,0.5613625791384524,-0.0005157237836354,,0.0,0.0,10,0.589143897786524,0.0006734097570201,,0.0,True
HIGH_OSCILLATION,做空,1.3919970696943567,0.5479351577376507,-0.001098260997697917,,0.0,0.5683656500520212,0.0055965320426136,,0.0,0,0.5683656500520212,0.0055965320426136,,0.0,0.0,9,0.589143897786524,0.0006734097570201,,0.0,True
HIGH_OSCILLATION,做空,1.2682836896441372,0.5562409823744444,0.0016685968253342999,,0.0,0.5744625277478584,-0.001015030115125,,0.0,2,0.5838803371699958,-0.0035034314253371,,0.0,0.17786322029694426,6,0.589143897786524,0.0006734097570201,,0.0,True
HIGH_OSCILLATION,做空,1.2682836896441372,0.563666961397493,-0.0012408290012112,,0.0,0.5796385322634765,-0.0021420785957795,,0.0,1,0.5838803371699958,-0.0035034314253371,,0.0,0.2639891988732971,6,0.589143897786524,0.0006734097570201,,0.0,True
HIGH_OSCILLATION,做空,1.2682836896441372,0.5701964907540932,-0.0017621762827394669,,0.0,0.5838803371699958,-0.0035034314253371,,0.0,0,0.5838803371699958,-0.0035034314253371,,0.0,0.0,6,0.589143897786524,0.0006734097570201,,0.0,True
HIGH_OSCILLATION,做空,1.1372992116467866,0.5758142706984067,0.0005481881821491501,,0.0,0.5871759978186358,0.0048688609701583,,0.0,2,0.5908881709389432,0.0005383430313849,,0.0,0.09317766379430527,3,0.589143897786524,0.0006734097570201,,0.0,True
HIGH_OSCILLATION,做空,1.1372992116467866,0.5805063370795503,0.00014012528790478332,,0.0,0.5895149774253139,-0.0029641011491016,,0.0,1,0.5908881709389432,0.0005383430313849,,0.0,0.01967891362912165,3,0.589143897786524,0.0006734097570201,,0.0,True
HIGH_OSCILLATION,做空,1.1372992116467866,0.5842600905607039,-0.0007029062139666666,,0.0,0.5908881709389432,0.0005383430313849,,0.0,0,0.5908881709389432,0.0005383430313849,,0.0,0.0,3,0.589143897786524,0.0006734097570201,,0.0,True
HIGH_OSCILLATION,做空,0.6997552994145819,0.5870643237098249,0.00022323608011195006,,0.0,0.5912879266425843,0.0045418236493467,,0.0,0,0.5912879266425843,0.0045418236493467,,0.0,0.0,2,0.589143897786524,0.0006734097570201,,0.0,True
HIGH_OSCILLATION,做空,-0.014827586206900467,0.5889092459059664,0.0003820815455145167,,0.0,0.5907080654403256,-0.0011890058033641,,0.0,3,0.5830514174533362,-0.0021843461351189,0.8012307549644324,0.0,0.05043712172158709,6,0.5411335692693774,-0.004960983032824,1.469888715590229,0.2275084570411643,True
HIGH_OSCILLATION,做空,1.078330402186513,0.5897865060087212,0.00107822174257405,,0.0,0.589143897786524,0.0006734097570201,,0.0,10,0.519420387535464,-0.0076150539619823,2.1397889159993024,0.2275084570411643,1.687837136788306,10,0.357406720083693,-0.0036241054533908,0.7803234801127893,0.0955034364495672,False
HIGH_OSCILLATION,做空,1.078330402186513,0.589689212741941,-0.0005495285955219167,,0.0,0.5865922382179547,-0.0048976410584175,,0.0,9,0.519420387535464,-0.0076150539619823,2.1397889159993024,0.2275084570411643,1.5827075299030609,10,0.357406720083693,-0.0036241054533908,0.7803234801127893,0.0955034364495672,False
HIGH_OSCILLATION,做空,1.078330402186513,0.5886119527466113,-0.0004195694265248001,0.8012307549644324,0.0,0.5830514174533362,-0.0021843461351189,0.8012307549644324,0.0,8,0.519420387535464,-0.0076150539619823,2.1397889159993024,0.2275084570411643,1.2615559293524015,10,0.357406720083693,-0.0036241054533908,0.7803234801127893,0.0955034364495672,False
HIGH_OSCILLATION,做空,1.078330402186513,0.5865508062615846,-6.884184425985007e-05,0.8139422145262813,0.0,0.5785212920287833,0.0026427085249746,0.8266536740881303,0.0,7,0.519420387535464,-0.0076150539619823,2.1397889159993024,0.2275084570411643,1.2013045129540398,10,0.357406720083693,-0.0036241054533908,0.7803234801127893,0.0955034364495672,False
HIGH_OSCILLATION,做空,0.6945907890002401,0.5835033603947953,-0.0016394909196373166,1.1069888029072803,0.0,0.5730032514418485,-0.0048820708029181,1.693081979669278,0.0,2,0.5590166728213695,0.0008441237182088,0.7675091820771771,0.0,0.09526557670028678,2,0.5411335692693774,-0.004960983032824,1.469888715590229,0.2275084570411643,True
HIGH_OSCILLATION,做空,0.6945907890002401,0.579468719951568,-0.0006757404733223168,1.1508985437295376,0.0,0.5665002227809613,0.0045934968745259,1.28262776619631,0.0,1,0.5590166728213695,0.0008441237182088,0.7675091820771771,0.0,0.005429041203364295,2,0.5411335692693774,-0.004960983032824,1.469888715590229,0.2275084570411643,True
